"Kjøpsdato";"Posteringsdato";"Beskrivelse";"Beløp"
"2022-01-13";"2022-01-14";"SIBKAFE HIBKRON, BERGEN, NOR";"-74,80"
"2022-01-13";"2022-01-14";"COCA-COLA ENTERPRISES, LORENSKOG, NOR";"-25,00"
"2022-01-12";"2022-01-13";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-180,60"
"2022-01-12";"2022-01-13";"AKADEMIKA HVL, BERGEN, NOR";"-686,50"
"2022-01-11";"2022-01-12";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-101,90"
"2022-01-10";"2022-01-11";"WIDEROE HANDLIN, LEKNES, NOR";"-300,00"
"2022-01-07";"2022-01-10";"Vipps*Spillfabrikken.n, Oslo, NOR";"-279,00"
"2022-01-07";"2022-01-10";"BUNNPRIS, Ramberg, NOR";"-89,40"
"2022-01-06";"2022-01-07";"Innbetaling";"11878,51"
"2022-01-04";"2022-01-05";"SvE*TEKNIKMAGASIN, OSLO, NOR";"-228,00"
"2022-01-04";"2022-01-05";"VIRTUEMAP, VILNIUS, LTU";"-361,95"
"2022-01-04";"2022-01-05";"SJEKKREGNSKAPET.NO, KRISTIANSAND, NOR";"-279,00"
"2022-01-03";"2022-01-03";"Omkostninger Penger tilbake";"-10,00"
"2021-12-28";"2021-12-28";"Vipps*Erlend Berg Fars, Oslo, NOR";"-63,00"
"2021-12-27";"2021-12-28";"Vipps*Benjamin Mathise, Oslo, NOR";"-200,00"
"2021-12-26";"2021-12-28";"REMA LEKNES_NY, Leknes, NOR";"-230,06"
"2021-12-22";"2021-12-23";"BUNNPRIS & GOUR, Leknes, NOR";"-69,40"
"2021-12-22";"2021-12-23";"VINMONOPOLET LEKNES, LEKNES, NOR";"-709,80"
"2021-12-22";"2021-12-23";"2473 EXTRA LEKNES, LEKNES, NOR";"-180,20"
"2021-12-21";"2021-12-22";"BUNNPRIS, Ramberg, NOR";"-186,60"
"2021-12-20";"2021-12-21";"BUNNPRIS, Ramberg, NOR";"-176,79"
"2021-12-20";"2021-12-21";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2021-12-19";"2021-12-20";"Vipps*Hakon Mydland, Oslo, NOR";"-1961,94"
"2021-12-18";"2021-12-20";"BUNNPRIS, Ramberg, NOR";"-159,10"
"2021-12-17";"2021-12-20";"BUNNPRIS, Ramberg, NOR";"-116,70"
"2021-12-16";"2021-12-20";"NEGRONI (501501, Bodoe, NOR";"-213,00"
"2021-12-16";"2021-12-17";"Wideroee Ground Handli, Bodoe, NOR";"-300,00"
"2021-12-15";"2021-12-16";"VINMONOPOLET BERGEN SL, BERGEN, NOR";"-17,80"
"2021-12-14";"2021-12-15";"Wideroe 7012129692661, Bodo, NOR";"-661,00"
"2021-12-14";"2021-12-15";"Overføring fra kredittkort til konto 4580.13.49386";"-5000,00"
"2021-12-15";"2021-12-15";"Omkostninger kontantoverføring";"-75,00"
"2021-12-13";"2021-12-14";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-187,40"
"2021-12-11";"2021-12-13";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-268,80"
"2021-12-10";"2021-12-13";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-109,40"
"2021-12-10";"2021-12-13";"SIBKAFE HIBKRON, BERGEN, NOR";"-45,05"
"2021-12-10";"2021-12-13";"SIBKAFE HIBKRON, BERGEN, NOR";"-78,16"
"2021-12-10";"2021-12-13";"SIBKAFE HIBKRON, BERGEN, NOR";"-46,20"
"2021-12-09";"2021-12-10";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-64,81"
"2021-12-08";"2021-12-09";"REMA WERGELAND, Bergen, NOR";"-272,40"
"2021-12-07";"2021-12-09";"REMA WERGELAND, Bergen, NOR";"-126,90"
"2021-12-06";"2021-12-06";"Innbetaling";"12997,81"
"2021-12-01";"2021-12-01";"Omkostninger Penger tilbake";"-10,00"
"2021-11-30";"2021-12-01";"SIBKAFE HIBKRON, BERGEN, NOR";"-80,86"
"2021-11-29";"2021-12-01";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-11-29";"2021-12-01";"SIBKAFE HIBKRON, BERGEN, NOR";"-138,00"
"2021-11-29";"2021-11-30";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-125,90"
"2021-11-27";"2021-11-29";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-47,90"
"2021-11-26";"2021-11-29";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-82,64"
"2021-11-25";"2021-11-29";"MENY SLETTEN, Bergen, NOR";"-179,20"
"2021-11-24";"2021-11-25";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-173,20"
"2021-11-23";"2021-11-24";"Vipps*Hakon Mydland, Oslo, NOR";"-10,00"
"2021-11-23";"2021-11-24";"Vipps*Stian Skaar, Oslo, NOR";"-70,00"
"2021-11-23";"2021-11-24";"SIBKAFE HIBKRON, BERGEN, NOR";"-67,45"
"2021-11-22";"2021-11-23";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-266,30"
"2021-11-21";"2021-11-22";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-164,80"
"2021-11-20";"2021-11-22";"AKADEM.KVARTER, BERGEN, NOR";"-100,00"
"2021-11-19";"2021-11-22";"BOCCA GRILL AS, Bergen, NOR";"-109,00"
"2021-11-19";"2021-11-22";"OLE B SCENE 1, Bergen, NOR";"-250,00"
"2021-11-19";"2021-11-25";"BILJARDEN, Bergen, NOR";"-120,00"
"2021-11-19";"2021-11-22";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-149,30"
"2021-11-19";"2021-11-22";"Vipps*Skyss Mobillett, Oslo, NOR";"-440,00"
"2021-11-19";"2021-11-22";"SIBKAFE HIBKRON, BERGEN, NOR";"-54,10"
"2021-11-19";"2021-11-22";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2021-11-18";"2021-11-19";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-112,50"
"2021-11-18";"2021-11-19";"APPLE.COM/BILL, ITUNES.COM, IRL";"169,00"
"2021-11-19";"2021-11-19";"Rabatt strømmetjenester";"-33,80"
"2021-11-17";"2021-11-18";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-109,60"
"2021-11-17";"2021-11-19";"REMA DANMARKSPL, Bergen, NOR";"-34,53"
"2021-11-17";"2021-11-18";"SIBKAFE HIBKRON, BERGEN, NOR";"-71,70"
"2021-11-16";"2021-11-17";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-131,40"
"2021-11-15";"2021-11-16";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-392,30"
"2021-11-15";"2021-11-15";"Innbetaling";"1904,92"
"2021-11-15";"2021-11-15";"APPLE.COM/BILL, ITUNES.COM, IRL";"-169,00"
"2021-11-15";"2021-11-15";"Rabatt strømmetjenester";"33,80"
"2021-11-14";"2021-11-15";"JADA ROOFGARDEN, Bergen, NOR";"-160,00"
"2021-11-14";"2021-11-15";"JADA ROOFGARDEN, Bergen, NOR";"-250,00"
"2021-11-14";"2021-11-15";"Vipps*Magnus Andre Har, Oslo, NOR";"-500,00"
"2021-11-14";"2021-11-15";"JADA ROOFGARDEN, Bergen, NOR";"-250,00"
"2021-11-14";"2021-11-15";"JADA ROOFGARDEN, Bergen, NOR";"-80,00"
"2021-11-14";"2021-11-15";"JADA ROOFGARDEN, Bergen, NOR";"-800,00"
"2021-11-13";"2021-11-15";"JADA ROOFGARDEN, Bergen, NOR";"-90,00"
"2021-11-13";"2021-11-15";"JADA ROOFGARDEN, Bergen, NOR";"-900,00"
"2021-11-13";"2021-11-15";"REMA WERGELAND, Bergen, NOR";"-636,10"
"2021-11-13";"2021-11-15";"HEIDIS BIER BAR, Bergen, NOR";"-180,00"
"2021-11-13";"2021-11-15";"HEIDIS BIER BAR, Bergen, NOR";"-218,00"
"2021-11-13";"2021-11-15";"HEIDIS BIER BAR, Bergen, NOR";"-450,00"
"2021-11-13";"2021-11-15";"JADA ROOFGARDEN, Bergen, NOR";"-250,00"
"2021-11-12";"2021-11-15";"JADA ROOFGARDEN, Bergen, NOR";"-220,00"
"2021-11-11";"2021-11-12";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-75,05"
"2021-11-11";"2021-11-15";"REMA DANMARKSPL, Bergen, NOR";"-15,38"
"2021-11-11";"2021-11-12";"DRESSMANN 162, Raadal, NOR";"-848,00"
"2021-11-11";"2021-11-12";"VINMONOPOLET BERGEN LA, RADAL, NOR";"-986,80"
"2021-11-10";"2021-11-11";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-239,50"
"2021-11-09";"2021-11-11";"MENY SLETTEN, Bergen, NOR";"-212,20"
"2021-11-08";"2021-11-09";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-152,40"
"2021-11-08";"2021-11-08";"Vipps*Tights.no, Oslo, NOR";"-417,70"
"2021-11-05";"2021-11-08";"EXTRA SKULESTADMO 8376, SKULESTADMO, NOR";"-296,90"
"2021-11-04";"2021-11-05";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-185,90"
"2021-11-04";"2021-11-05";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-11-04";"2021-11-04";"Ryde Technology AS, Oslo, NOR";"-25,00"
"2021-11-04";"2021-11-08";"ESPRESSO HOUSE, Bergen, NOR";"-130,00"
"2021-11-03";"2021-11-05";"MENY SLETTEN, Bergen, NOR";"-84,10"
"2021-11-03";"2021-11-04";"SIBKAFE HIBKRON, BERGEN, NOR";"-56,10"
"2021-11-02";"2021-11-03";"SIBKAFE HIBKRON, BERGEN, NOR";"-71,70"
"2021-11-01";"2021-11-02";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-248,10"
"2021-11-01";"2021-11-01";"Omkostninger Penger tilbake";"-10,00"
"2021-10-30";"2021-11-01";"HOPE MATSENTER, Bergen, NOR";"-206,87"
"2021-10-30";"2021-11-01";"MENY SLETTEN, Bergen, NOR";"-268,20"
"2021-10-30";"2021-11-01";"VINMONOPOLET BERGEN SL, BERGEN, NOR";"-659,80"
"2021-10-28";"2021-10-29";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-157,80"
"2021-10-28";"2021-10-29";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-10-27";"2021-10-29";"REMA XHIBITION, Bergen, NOR";"-19,84"
"2021-10-27";"2021-10-28";"NO1020, Bergen, NOR";"-125,00"
"2021-10-27";"2021-10-28";"LINDEX BERGEN STORSENT, BERGEN, NOR";"-238,50"
"2021-10-27";"2021-10-28";"SIBKAFE HIBKRON, BERGEN, NOR";"-82,61"
"2021-10-26";"2021-10-27";"SIBKAFE HIBKRON, BERGEN, NOR";"-71,70"
"2021-10-26";"2021-10-26";"Innbetaling";"12776,96"
"2021-10-23";"2021-10-25";"MCDONALD'S 018 TORGALM, BERGEN, NOR";"-180,00"
"2021-10-23";"2021-10-25";"REBEL, Bergen, NOR";"-140,00"
"2021-10-23";"2021-10-25";"JADA ROOFGARDEN, Bergen, NOR";"-200,00"
"2021-10-22";"2021-10-25";"JADA ROOFGARDEN, Bergen, NOR";"-600,00"
"2021-10-22";"2021-10-25";"HOPE MATSENTER, Bergen, NOR";"-283,30"
"2021-10-21";"2021-10-25";"REMA DANMARKSPL, Bergen, NOR";"-83,87"
"2021-10-21";"2021-10-22";"SIBKAFE HIBKRON, BERGEN, NOR";"-91,80"
"2021-10-20";"2021-10-22";"REMA WERGELAND, Bergen, NOR";"-383,60"
"2021-10-20";"2021-10-21";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2021-10-19";"2021-10-20";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-315,07"
"2021-10-18";"2021-10-19";"SPISERIET CAFE, BERGEN, NOR";"-170,00"
"2021-10-18";"2021-10-20";"MENY SLETTEN, Bergen, NOR";"-48,50"
"2021-10-18";"2021-10-19";"VINMONOPOLET BERGEN SL, BERGEN, NOR";"-419,80"
"2021-10-16";"2021-10-18";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-282,21"
"2021-10-16";"2021-10-18";"APPLE.COM/BILL, ITUNES.COM, IRL";"-149,00"
"2021-10-18";"2021-10-18";"Rabatt strømmetjenester";"29,80"
"2021-10-15";"2021-10-18";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-102,60"
"2021-10-15";"2021-10-15";"Innbetaling";"3972,29"
"2021-10-14";"2021-10-15";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-454,18"
"2021-10-14";"2021-10-15";"SIBKAFE HIBKRON, BERGEN, NOR";"-67,45"
"2021-10-13";"2021-10-14";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-193,39"
"2021-10-13";"2021-10-14";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-10-12";"2021-10-13";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-77,60"
"2021-10-11";"2021-10-12";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-226,80"
"2021-10-09";"2021-10-11";"HOPE MATSENTER, Bergen, NOR";"-39,50"
"2021-10-09";"2021-10-11";"REMA WERGELAND, Bergen, NOR";"-73,40"
"2021-10-09";"2021-10-11";"COOP OBS LAGUNEN 83819, RADAL, NOR";"-505,20"
"2021-10-09";"2021-10-11";"LAGUNEN KINO, Raadal, NOR";"-115,00"
"2021-10-09";"2021-10-11";"HOPE MATSENTER, Bergen, NOR";"-242,40"
"2021-10-09";"2021-10-11";"JADA ROOFGARDEN, Bergen, NOR";"-290,00"
"2021-10-08";"2021-10-11";"JADA ROOFGARDEN, Bergen, NOR";"-139,00"
"2021-10-08";"2021-10-11";"JADA ROOFGARDEN, Bergen, NOR";"-145,00"
"2021-10-08";"2021-10-11";"JADA ROOFGARDEN, Bergen, NOR";"-145,00"
"2021-10-08";"2021-10-11";"EXTRA HAKONSGATEN, BERGEN, NOR";"-72,00"
"2021-10-08";"2021-10-11";"SPISERIET CAFE, BERGEN, NOR";"-170,00"
"2021-10-08";"2021-10-11";"VINMONOPOLET BERGEN SL, BERGEN, NOR";"-1264,70"
"2021-10-07";"2021-10-08";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-188,20"
"2021-10-06";"2021-10-07";"PlaystationNetwork, London, GBR";"-580,00"
"2021-10-06";"2021-10-07";"SIBKAFE HIBKRON, BERGEN, NOR";"-51,00"
"2021-10-06";"2021-10-07";"D4F AG, www.d4f.ag, CHE";"-996,00"
"2021-10-05";"2021-10-06";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-254,50"
"2021-10-04";"2021-10-05";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-217,40"
"2021-10-04";"2021-10-05";"Billettservice AS, Oslo, NOR";"-2185,80"
"2021-10-02";"2021-10-04";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-230,99"
"2021-10-01";"2021-10-01";"Omkostninger Penger tilbake";"-10,00"
"2021-09-30";"2021-10-01";"Vipps*Viking Bergen, Oslo, NOR";"-100,00"
"2021-09-30";"2021-10-04";"HOPE MATSENTER, Bergen, NOR";"-18,90"
"2021-09-30";"2021-10-01";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-225,08"
"2021-09-29";"2021-10-01";"HOPE MATSENTER, Bergen, NOR";"-88,27"
"2021-09-30";"2021-09-30";"Vipps*Stian Skaar, Oslo, NOR";"-25,00"
"2021-09-29";"2021-09-30";"Vipps*Stian Skaar, Oslo, NOR";"-100,00"
"2021-09-27";"2021-09-28";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-292,82"
"2021-09-24";"2021-09-27";"REMA WERGELAND, Bergen, NOR";"-284,18"
"2021-09-22";"2021-09-23";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-09-21";"2021-09-22";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-284,17"
"2021-09-20";"2021-09-22";"NETS*pizzabakeren.no, FYLLINGSDALEN, NOR";"-333,00"
"2021-09-19";"2021-09-22";"STAMINA TRENING, OSLO, NOR";"-349,00"
"2021-09-18";"2021-09-20";"HOPE MATSENTER, Bergen, NOR";"-191,70"
"2021-09-16";"2021-09-20";"HOPE MATSENTER, Bergen, NOR";"-82,00"
"2021-09-15";"2021-09-17";"REMA WERGELAND, Bergen, NOR";"-376,33"
"2021-09-15";"2021-09-16";"SIBKAFE HIBKRON, BERGEN, NOR";"-105,40"
"2021-09-15";"2021-09-15";"Innbetaling";"5408,88"
"2021-09-14";"2021-09-16";"MCDONALD'S 018 TORGALM, BERGEN, NOR";"-161,00"
"2021-09-14";"2021-09-15";"Vipps*Skyss Mobillett, Oslo, NOR";"-39,00"
"2021-09-13";"2021-09-15";"HOPE MATSENTER, Bergen, NOR";"-54,53"
"2021-09-11";"2021-09-13";"HOPE MATSENTER, Bergen, NOR";"-353,20"
"2021-09-11";"2021-09-13";"OLIVIA ZACHARIASBRYGGE, BERGEN, NOR";"-600,00"
"2021-09-10";"2021-09-13";"H?RGALLERIET FR, RAADAL, NOR";"-320,00"
"2021-09-10";"2021-09-13";"SELECTED LAGUNEN, RADAL, NOR";"-1601,85"
"2021-09-10";"2021-09-13";"CARLINGS 542, Raadal, NOR";"-596,00"
"2021-09-10";"2021-09-13";"XXL NOR 310 LAG, RAADAL, NOR";"-1293,00"
"2021-09-10";"2021-09-13";"LEVIS STORE L20, Raadal, NOR";"-2148,00"
"2021-09-10";"2021-09-10";"Innbetaling";"13000,47"
"2021-09-09";"2021-09-10";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-219,44"
"2021-09-09";"2021-09-10";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-09-06";"2021-09-07";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-14,89"
"2021-09-06";"2021-09-07";"Wideroes 7012129345764, Bodo, NOR";"-2878,00"
"2021-09-06";"2021-09-07";"Wideroes 7014560427967, Bodo, NOR";"-149,00"
"2021-09-05";"2021-09-06";"D4F AG, www.d4f.ag, CHE";"-996,00"
"2021-09-05";"2021-09-06";"Just Eat.no, Oslo, NOR";"-509,00"
"2021-09-05";"2021-09-06";"Vipps*Pernille Kvilaas, Oslo, NOR";"-300,00"
"2021-09-04";"2021-09-06";"Vipps*HBB Bergen, Oslo, NOR";"-148,00"
"2021-09-04";"2021-09-06";"REMA WERGELAND, Bergen, NOR";"-145,30"
"2021-09-04";"2021-09-06";"MCDONALD'S 018 TORGALM, BERGEN, NOR";"-237,00"
"2021-09-04";"2021-09-06";"Vipps*Bar 3, Oslo, NOR";"-413,00"
"2021-09-04";"2021-09-06";"Vipps*Bar 3, Oslo, NOR";"-237,00"
"2021-09-02";"2021-09-03";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-09-02";"2021-09-03";"WEBHUSET AS, Bergen, NOR";"-375,00"
"2021-09-01";"2021-09-03";"REMA WERGELAND, Bergen, NOR";"-143,80"
"2021-09-01";"2021-09-01";"Omkostninger Penger tilbake";"-10,00"
"2021-08-31";"2021-09-01";"Vipps*Hakon Mydland, Oslo, NOR";"-150,00"
"2021-08-31";"2021-09-01";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-152,20"
"2021-08-31";"2021-09-01";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-101,17"
"2021-08-30";"2021-09-01";"REMA WERGELAND, Bergen, NOR";"-173,90"
"2021-08-30";"2021-08-31";"TRADINGVIEW, 6142853455, USA";"-5399,86"
"2021-08-30";"2021-08-31";"WEBHUSET AS, Bergen, NOR";"-8,75"
"2021-08-30";"2021-08-30";"Innbetaling";"7500,71"
"2021-08-29";"2021-08-30";"BURGER KIN 5003, BERGEN, NOR";"-117,00"
"2021-08-28";"2021-08-30";"REMA WERGELAND, Bergen, NOR";"-199,60"
"2021-08-28";"2021-08-30";"HOPE MATSENTER, Bergen, NOR";"-348,10"
"2021-08-28";"2021-08-30";"VINMONOPOLET BERGEN SL, BERGEN, NOR";"-1029,70"
"2021-08-27";"2021-08-30";"HOPE MATSENTER, Bergen, NOR";"-138,70"
"2021-08-27";"2021-08-30";"VINMONOPOLET BERGEN LA, RADAL, NOR";"-606,90"
"2021-08-27";"2021-08-30";"MCD 059 LAGUNEN, RADAL, NOR";"-82,00"
"2021-08-27";"2021-08-30";"BOYS LAGUNEN, RAADAL, NOR";"-419,40"
"2021-08-27";"2021-08-30";"VIC LAGUNEN, RAADAL, NOR";"-299,70"
"2021-08-27";"2021-08-30";"MATCH  LAGUNEN, RAADAL, NOR";"-241,70"
"2021-08-27";"2021-08-30";"JACK OG JONES LAGUNEN, RADAL, NOR";"-1601,87"
"2021-08-27";"2021-08-30";"Vipps*Bjoern Tore Warl, Oslo, NOR";"-600,00"
"2021-08-26";"2021-08-27";"Vipps*Skyss Mobillett, Oslo, NOR";"-39,00"
"2021-08-26";"2021-08-30";"REMA WERGELAND, Bergen, NOR";"-131,57"
"2021-08-25";"2021-08-26";"Vipps*Hakon Mydland, Oslo, NOR";"-280,00"
"2021-08-25";"2021-08-26";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-822,80"
"2021-08-25";"2021-08-26";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-08-24";"2021-08-25";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-156,00"
"2021-08-24";"2021-08-25";"AKADEMIKA HVL, BERGEN, NOR";"-58,00"
"2021-08-23";"2021-08-24";"Teknikmagasinet, Bergen, NOR";"-279,00"
"2021-08-23";"2021-08-24";"Innbetaling";"13000,14"
"2021-08-21";"2021-08-23";"HOPE MATSENTER, Bergen, NOR";"-739,50"
"2021-08-21";"2021-08-23";"JULA BERGEN LAG, RADAL, NOR";"-645,00"
"2021-08-21";"2021-08-23";"JULA BERGEN LAG, RADAL, NOR";"-119,80"
"2021-08-21";"2021-08-23";"262 JERNIA, RADAL, NOR";"-1202,00"
"2021-08-21";"2021-08-23";"COOP OBS LAGUNEN 83819, RADAL, NOR";"-359,90"
"2021-08-20";"2021-08-23";"REMA WERGELAND, Bergen, NOR";"-131,30"
"2021-08-20";"2021-08-23";"Vipps*Oeystein Skoge J, Oslo, NOR";"-1900,00"
"2021-08-20";"2021-08-23";"VINMONOPOLET BERGEN BE, BERGEN, NOR";"-632,90"
"2021-08-20";"2021-08-23";"CUBUS 875, Bergen, NOR";"-270,70"
"2021-08-20";"2021-08-23";"STAMINA TRENING, OSLO, NOR";"-347,00"
"2021-08-19";"2021-08-20";"Klarna *Gymgrossisten, Solna, SWE";"-718,00"
"2021-08-19";"2021-08-23";"MENY SLETTEN, Bergen, NOR";"-186,88"
"2021-08-19";"2021-08-20";"VINMONOPOLET BERGEN SL, BERGEN, NOR";"-941,80"
"2021-08-19";"2021-08-20";"SPORT 1 SLETTEN, BERGEN, NOR";"-499,00"
"2021-08-17";"2021-08-18";"Vipps*Doris Atuha, Oslo, NOR";"-350,00"
"2021-08-17";"2021-08-18";"BOHUS NORD?S AS, Os, NOR";"-799,00"
"2021-08-17";"2021-08-18";"MYE MORO AS, Raadal, NOR";"-269,20"
"2021-08-17";"2021-08-17";"Vipps*Said Ayyad, Oslo, NOR";"-1200,00"
"2021-08-17";"2021-08-17";"Vipps*Skyss Mobillett, Oslo, NOR";"-140,00"
"2021-08-17";"2021-08-18";"APPLE.COM/BILL, 80056952, IRL";"-169,00"
"2021-08-18";"2021-08-18";"Rabatt strømmetjenester";"33,80"
"2021-08-17";"2021-08-18";"APPLE.COM/BILL, ITUNES.COM, IRL";"-549,00"
"2021-08-18";"2021-08-18";"Rabatt strømmetjenester";"109,80"
"2021-08-16";"2021-08-18";"REMA WERGELAND, Bergen, NOR";"-380,20"
"2021-08-13";"2021-08-16";"SPAR STOR?YA, Svolvaer, NOR";"-135,60"
"2021-08-12";"2021-08-13";"CIRCLE K SVOLVER, SVOLVER, NOR";"-60,00"
"2021-08-12";"2021-08-13";"SNARKJOP DIGERMULEN, DIGERMULEN, NOR";"-58,70"
"2021-08-11";"2021-08-12";"LILLE MILANO LE, Leknes, NOR";"-299,00"
"2021-08-11";"2021-08-13";"BUNNPRIS GRAVDA, GRAVDAL, NOR";"-99,23"
"2021-08-10";"2021-08-12";"REMA SVOLV?R, Svolvaer, NOR";"-64,70"
"2021-08-09";"2021-08-11";"KIWI 155 OSAN S, Svolvaer, NOR";"-128,60"
"2021-08-08";"2021-08-10";"REMA LEKNES_NY, Leknes, NOR";"-49,10"
"2021-08-07";"2021-08-09";"REMA LEKNES_NY, Leknes, NOR";"-64,90"
"2021-08-07";"2021-08-09";"Innbetaling";"10000,88"
"2021-08-06";"2021-08-09";"REMA LEKNES_NY, Leknes, NOR";"-191,90"
"2021-08-06";"2021-08-09";"KIWI 155 OSAN S, Svolvaer, NOR";"-99,60"
"2021-08-05";"2021-08-09";"BUNNPRIS, Ramberg, NOR";"-71,30"
"2021-08-03";"2021-08-04";"1888 EXTRA KABELVAAG, KABELVAG, NOR";"-133,44"
"2021-08-02";"2021-08-04";"SPAR STOR?YA, Svolvaer, NOR";"-136,30"
"2021-08-02";"2021-08-02";"Omkostninger Penger tilbake";"-10,00"
"2021-07-30";"2021-08-02";"SPAR STOR?YA, Svolvaer, NOR";"-118,70"
"2021-07-29";"2021-07-30";"SPAR STOR?YA, Svolvaer, NOR";"-86,80"
"2021-07-28";"2021-07-29";"2571 COOP PRIX STAMSUN, STAMSUND, NOR";"-29,00"
"2021-07-28";"2021-07-30";"SPAR BORG, Boestad, NOR";"-83,70"
"2021-07-27";"2021-07-29";"BUNNPRIS & GOUR, Leknes, NOR";"-225,08"
"2021-07-26";"2021-07-28";"SPAR STOR?YA, Svolvaer, NOR";"-119,70"
"2021-07-25";"2021-07-27";"LEKNES STORKIOS, Leknes, NOR";"-192,00"
"2021-07-25";"2021-07-26";"LOFOTEN MAT OG VIN, STAMSUND, NOR";"-1000,00"
"2021-07-25";"2021-07-26";"Vipps*Jacob Faeste Jen, Oslo, NOR";"-2500,00"
"2021-07-24";"2021-07-26";"LOFOTEN MAT OG VIN, STAMSUND, NOR";"-1400,00"
"2021-07-24";"2021-07-26";"BUNNPRIS, Ramberg, NOR";"-116,70"
"2021-07-23";"2021-07-26";"BUNNPRIS, Ramberg, NOR";"-145,30"
"2021-07-22";"2021-07-23";"189100 PRIX REINE, REINE, NOR";"-47,20"
"2021-07-21";"2021-07-23";"BUNNPRIS & GOUR, Leknes, NOR";"-142,84"
"2021-07-21";"2021-07-22";"APOTEK 1, LEKNES, NOR";"-64,46"
"2021-07-19";"2021-07-21";"SPAR STOR?YA, Svolvaer, NOR";"-117,70"
"2021-07-19";"2021-07-19";"KLARNA AB";"-1111,00"
"2021-07-19";"2021-07-19";"Omkostninger regningsbetaling";"-36,11"
"2021-07-17";"2021-07-19";"APPLE.COM/BILL, 80056952, IRL";"-169,00"
"2021-07-19";"2021-07-19";"Rabatt strømmetjenester";"33,80"
"2021-07-16";"2021-07-19";"SPAR BORG, Boestad, NOR";"-97,60"
"2021-07-15";"2021-07-16";"GIMSOY LANDHANDEL LOFO, GIMSOYSAND, NOR";"-98,80"
"2021-07-14";"2021-07-16";"BUNNPRIS, Ramberg, NOR";"-91,70"
"2021-07-14";"2021-07-16";"SPAR STOR?YA, Svolvaer, NOR";"-200,40"
"2021-07-12";"2021-07-13";"VINMONOPOLET LEKNES, LEKNES, NOR";"-431,90"
"2021-07-12";"2021-07-12";"Innbetaling";"12000,88"
"2021-07-10";"2021-07-12";"JOKER BALLSTAD, Ballstad, NOR";"-172,60"
"2021-07-10";"2021-07-12";"BUNNPRIS GRAVDA, GRAVDAL, NOR";"-99,78"
